stage,model,sensitive_attr,num_groups_included,min_group_size,max_group_size,selection_rate_pred_at_risk_gap,selection_rate_pred_at_risk_min,selection_rate_pred_at_risk_max,tpr_recall_at_risk_gap,tpr_recall_at_risk_min,tpr_recall_at_risk_max,fpr_gap,fpr_min,fpr_max,fnr_gap,fnr_min,fnr_max,accuracy_gap,accuracy_min,accuracy_max,balanced_accuracy_gap,balanced_accuracy_min,balanced_accuracy_max,f1_at_risk_gap,f1_at_risk_min,f1_at_risk_max,roc_auc_gap,roc_auc_min,roc_auc_max
early_25pct,LogisticRegression,age_band,3,60,5778,0.18125649013499484,0.31666666666666665,0.4979231568016615,0.18522363631922223,0.5769230769230769,0.7621467132422991,0.06379075022934241,0.11764705882352941,0.18143780905287182,0.18522363631922223,0.23785328675770084,0.4230769230769231,0.03781585323641401,0.75,0.787815853236414,0.06071644304493995,0.7296380090497737,0.7903544520947137,0.1298816240734595,0.6666666666666666,0.7965482907401261,0.019505122532366137,0.8604701780001678,0.8799753005325339
early_25pct,LogisticRegression,gender,2,3696,4444,0.04773155887017272,0.44101731601731603,0.48874887488748875,0.06784617167837526,0.7034733022291343,0.7713194739075095,0.015122315115888407,0.15449915110356535,0.16962146621945376,0.06784617167837526,0.22868052609249045,0.2965266977708657,0.02768044661609015,0.7713744588744589,0.799054905490549,0.026361928281243507,0.7744870755627844,0.8008490038440279,0.04025247428283818,0.7625737566732228,0.802826230956061,0.025310255514074953,0.8610291846105507,0.8863394401246256
early_25pct,LogisticRegression,imd_band,11,312,920,0.38345324806063835,0.2724358974358974,0.6558891454965358,0.256114223254543,0.5769230769230769,0.8330373001776199,0.2326466517619504,0.09408602150537634,0.32673267326732675,0.25611422325454297,0.1669626998223801,0.4230769230769231,0.03298718972811454,0.7740303541315345,0.8070175438596491,0.07887301034921024,0.7283653846153846,0.8072383949645948,0.19443391857184966,0.6349206349206349,0.8293545534924845,0.0621296252112008,0.8225776627218936,0.8847072879330944
early_25pct,RandomForest,age_band,3,60,5778,0.11983385254413292,0.36666666666666664,0.48650051921079956,0.07936585485013559,0.6923076923076923,0.7716735471578279,0.03577005045128946,0.109151973131822,0.14492202358311146,0.07936585485013559,0.22832645284217212,0.3076923076923077,0.014943527367506482,0.8,0.8149435273675065,0.026045445045276838,0.7873303167420814,0.8133757617873583,0.06543624161073824,0.75,0.8154362416107382,0.01984251667646031,0.8744343891402715,0.8942769058167318
early_25pct,RandomForest,gender,2,3696,4444,0.037870751360850385,0.44345238095238093,0.4813231323132313,0.048621480460461775,0.7345775012960083,0.7831989817564701,0.01475623615509708,0.12563667232597622,0.1403929084810733,0.0486214804604618,0.2168010182435299,0.2654224987039917,0.017674981783892596,0.8014069264069265,0.819081908190819,0.01693262215268221,0.8044704144850161,0.8214030366376983,0.02689186601343696,0.7942825112107623,0.8211743772241993,0.019992490510615912,0.8819865262078256,0.9019790167184415
early_25pct,RandomForest,imd_band,11,312,920,0.29993486113578494,0.28205128205128205,0.581986143187067,0.18390490504167234,0.6153846153846154,0.7992895204262878,0.09017595307917889,0.08870967741935484,0.17888563049853373,0.18390490504167237,0.20071047957371227,0.38461538461538464,0.04151748580521508,0.7948717948717948,0.8363892806770099,0.08249976069685072,0.75,0.8324997606968507,0.17681974383005317,0.6666666666666666,0.8434864104967198,0.05784502367674316,0.84948224852071,0.9073272721974531
early_25pct,XGBoost,age_band,3,60,5778,0.11908965039806158,0.38333333333333336,0.5024229837313949,0.05995798421965459,0.7307692307692307,0.7907272149888853,0.03944689324950215,0.11764705882352941,0.15709395207303156,0.05995798421965459,0.20927278501111463,0.2692307692307692,0.010411236605849972,0.8062554300608167,0.8166666666666667,0.013092934151168412,0.8037236973067584,0.8168166314579268,0.04735826915035679,0.7755102040816326,0.8228684732319894,0.015488050083474647,0.8812217194570136,0.8967097695404882
early_25pct,XGBoost,gender,2,3696,4444,0.045593845098795605,0.4523809523809524,0.497974797479748,0.04683423168647349,0.7490927941938829,0.7959270258803564,0.03300947547935329,0.1284663271080928,0.1614758025874461,0.04683423168647352,0.20407297411964362,0.25090720580611714,0.008301723029445873,0.8076298701298701,0.815931593159316,0.006912378103560046,0.8103132335428951,0.8172256116464551,0.01845171867527673,0.8025548458761456,0.8210065645514223,0.018100725139874152,0.8850008640055296,0.9031015891454037
early_25pct,XGBoost,imd_band,11,312,920,0.33226742464617753,0.28205128205128205,0.6143187066974596,0.19738010657193605,0.625,0.822380106571936,0.1390130948578729,0.08870967741935484,0.22772277227722773,0.19738010657193605,0.17761989342806395,0.375,0.05422232868763255,0.7906295754026355,0.844851904090268,0.08419029938664757,0.7572115384615384,0.841401837848186,0.16857876712328768,0.6770833333333334,0.845662100456621,0.06275743409256163,0.847032174556213,0.9097896086487747
full_100pct,LogisticRegression,age_band,3,60,5778,0.09297334717895467,0.43333333333333335,0.526306680512288,0.06144845253756148,0.9000900090009001,0.9615384615384616,0.03639272369274831,0.029411764705882353,0.06580448839863066,0.06144845253756144,0.038461538461538464,0.0999099909990999,0.04524056767047424,0.9214260989961924,0.9666666666666667,0.04358293145333125,0.9224804169629583,0.9660633484162896,0.03689676019773114,0.9246417013407304,0.9615384615384616,0.0032548666152618644,0.9717194570135747,0.9749743236288365
