family,mean_abs_shap,model,stage
Assessment,0.2622451728216246,RandomForest,early_25pct
Demographic,0.03131173924366098,RandomForest,early_25pct
Region,0.003715774179941352,RandomForest,early_25pct
Registration / other,0.026873849772033956,RandomForest,early_25pct
VLE engagement,0.13665348395808782,RandomForest,early_25pct
Assessment,0.37262378652360023,RandomForest,full_100pct
Demographic,0.009846291764182644,RandomForest,full_100pct
Region,0.0016221515167788394,RandomForest,full_100pct
Registration / other,0.009216076667735417,RandomForest,full_100pct
VLE engagement,0.15338755775407306,RandomForest,full_100pct
